               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  78,            0.022948,           0.0081172,                   0,              0.9969,                   1,               0.995,             0.62378,            0.026107,           0.0039733,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019707,            0.006865,                   0,             0.99664,                   1,               0.995,             0.64726,            0.025806,           0.0038739,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.018885,           0.0069666,                   0,             0.99682,                   1,               0.995,             0.54738,            0.029361,           0.0039698,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.021237,           0.0080036,                   0,             0.99676,                   1,               0.995,             0.56533,            0.029756,           0.0039746,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020174,            0.006511,                   0,             0.99684,                   1,               0.995,             0.61827,            0.027827,            0.003962,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.019239,           0.0073003,                   0,             0.99684,                   1,               0.995,             0.53535,             0.03139,           0.0040765,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.01856,           0.0075565,                   0,             0.99685,                   1,               0.995,             0.62873,             0.02617,           0.0038101,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.016647,           0.0069004,                   0,             0.99688,                   1,               0.995,             0.58889,            0.027698,           0.0038929,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018295,           0.0070996,                   0,             0.99692,                   1,               0.995,             0.62376,            0.026957,             0.00383,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.018333,           0.0068121,                   0,             0.99704,                   1,               0.995,             0.57247,             0.02967,           0.0039495,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.018926,           0.0059092,                   0,             0.99687,                   1,               0.995,             0.63065,             0.02758,           0.0039093,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.017472,           0.0074521,                   0,             0.99705,                   1,               0.995,             0.57685,             0.03115,           0.0040547,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019927,           0.0073575,                   0,             0.99696,                   1,               0.995,             0.62786,            0.029794,           0.0041022,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019997,           0.0066562,                   0,             0.99689,                   1,               0.995,             0.58576,            0.029637,           0.0042429,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.016607,           0.0061083,                   0,             0.99691,                   1,               0.995,              0.5827,             0.02936,           0.0042299,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.018013,           0.0068801,                   0,             0.99699,                   1,               0.995,             0.61968,            0.029071,           0.0041933,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.016513,           0.0073174,                   0,             0.99694,                   1,               0.995,             0.60648,            0.029369,           0.0041677,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018728,           0.0070868,                   0,             0.99693,                   1,               0.995,             0.57758,            0.029879,           0.0041781,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.015812,           0.0060761,                   0,             0.99694,                   1,               0.995,             0.55469,             0.03099,            0.004223,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.016006,           0.0071841,                   0,             0.99695,                   1,               0.995,             0.58903,             0.02958,           0.0041621,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.016525,            0.006273,                   0,             0.99712,                   1,               0.995,             0.60441,            0.028809,            0.004123,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.016467,           0.0068559,                   0,             0.99704,                   1,               0.995,              0.6158,            0.028312,           0.0041095,                   0,            0.000298,            0.000298,            0.000298
